Name,Is_Speaker,Total_Turns,Total_Words,Avg_Words_Per_Turn,Mentions_Out_Dict,Mentions_In_Dict
SECOND WATCHMAN,True,1,9,9.0,"{""ROMEO"": 1}",{}
MUSICIAN,True,1,8,8.0,{},{}
THIRD MUSICIAN,True,1,7,7.0,{},{}
CUPID,False,0,0,0.0,{},"{""ROMEO"": 1, ""MERCUTIO"": 1}"
ROSALINE,False,0,0,0.0,{},"{""ROMEO"": 3, ""BENVOLIO"": 1, ""MERCUTIO"": 2, ""FRIAR LAURENCE"": 4}"
GOD,False,0,0,0.0,{},"{""NURSE"": 5, ""JULIET"": 3}"
VENUS,False,0,0,0.0,{},"{""MERCUTIO"": 1, ""PARIS"": 1}"
JESU,False,0,0,0.0,{},"{""MERCUTIO"": 1, ""NURSE"": 1}"
JACK,False,0,0,0.0,{},"{""MERCUTIO"": 1, ""SECOND MUSICIAN"": 1}"
LAURENCE,False,0,0,0.0,{},"{""NURSE"": 1, ""JULIET"": 3}"
CAPEL,False,0,0,0.0,{},"{""BALTHASAR"": 1, ""FRIAR LAURENCE"": 1}"
MANTUA,False,0,0,0.0,{},"{""APOTHECARY"": 1, ""FRIAR LAURENCE"": 1}"
