Name,Is_Speaker,Total_Turns,Total_Words,Avg_Words_Per_Turn,Mentions_Out_Dict,Mentions_In_Dict
CAITHNESS,True,3,73,24.33,"{""DONALBAIN"": 1}",{}
MENTEITH,True,5,71,14.2,"{""MALCOLM"": 1, ""SIWARD"": 1, ""MACDUFF"": 1}",{}
DONALBAIN,True,3,59,19.67,"{""MALCOLM"": 1}","{""LADY MACBETH"": 1, ""MACDUFF"": 2, ""MALCOLM"": 2, ""LENNOX"": 1, ""CAITHNESS"": 1}"
YOUNG SIWARD,True,4,50,12.5,{},{}
THIRD MURDERER,True,6,42,7.0,"{""MACBETH"": 1, ""SON"": 1}",{}
THIRD APPARITION,True,1,33,33.0,"{""MACBETH"": 1}",{}
SEYTON,True,5,32,6.4,"{""LORD"": 3}","{""MACBETH"": 4}"
SECOND APPARITION,True,2,24,12.0,"{""MACBETH"": 4}",{}
SERVANT,True,5,21,4.2,"{""SOLDIERS"": 1}","{""MACBETH"": 2}"
LORDS,True,3,17,5.67,"{""LORD"": 1, ""BANQUO"": 1}",{}
FLEANCE,True,2,15,7.5,{},"{""MACBETH"": 4, ""BANQUO"": 1, ""FIRST MURDERER"": 1, ""LENNOX"": 3}"
FIRST APPARITION,True,1,14,14.0,"{""MACBETH"": 3, ""MACDUFF"": 1, ""THANE OF FIFE"": 1}",{}
ATTENDANT,True,1,8,8.0,"{""LORD"": 1}","{""MACBETH"": 1}"
BOTH MURDERERS,True,2,8,4.0,"{""LORD"": 2}",{}
SOLDIERS,True,1,4,4.0,{},"{""ROSS"": 1, ""SERVANT"": 1, ""MACBETH"": 3}"
MACBETH LENNOX,True,1,3,3.0,{},{}
KING OF SCOTLAND,False,0,0,0.0,{},"{""SERGEANT"": 1, ""MACDUFF"": 1, ""ALL"": 1}"
THANE OF CAWDOR,False,0,0,0.0,{},"{""ROSS"": 2, ""DUNCAN"": 2, ""SECOND WITCH"": 1, ""MACBETH"": 6, ""BANQUO"": 1, ""LADY MACBETH"": 1}"
THANE OF GLAMIS,False,0,0,0.0,{},"{""FIRST WITCH"": 1, ""MACBETH"": 1}"
CAWDOR,False,0,0,0.0,{},"{""MACBETH"": 3, ""DUNCAN"": 2, ""LADY MACBETH"": 2, ""BANQUO"": 1}"
GLAMIS,False,0,0,0.0,{},"{""MACBETH"": 2, ""LADY MACBETH"": 2, ""BANQUO"": 1}"
PRINCE OF CUMBERLAND,False,0,0,0.0,{},"{""DUNCAN"": 1, ""MACBETH"": 1}"
FIFE,False,0,0,0.0,{},"{""MACDUFF"": 1, ""MACBETH"": 1}"
THANE OF FIFE,False,0,0,0.0,{},"{""FIRST APPARITION"": 1, ""LADY MACBETH"": 1}"
GOD,False,0,0,0.0,{},"{""LADY MACDUFF"": 1, ""SIWARD"": 1}"
